ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
201-6262,Newtownstewart Model Primary School ,Controlled,64.0,BT784EX,54.717583,-7.393252,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,80.0,48,0,16
201-6372,Cumber Claudy Primary School ,Controlled,151.0,BT474HX,54.911407,-7.16597,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,122.88205727444507,121,9,21
201-6395,Gortin Primary School ,Controlled,67.0,BT798QB,54.721979,-7.232268,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,81.85352771872451,56,0-4,7-11
201-6426,Limavady Central Primary School ,Controlled,326.0,BT490NB,55.040775,-6.937312,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,180.55470085267788,218,28,80
201-6645,Bready Jubilee Primary School ,Controlled,123.0,BT820DN,54.922304,-7.424609,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,110.90536506409418,101,0-4,18-22
201-6656,Drumrane Primary School,Controlled,140.0,BT474NL,54.969592,-6.939161,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.32159566199232,120,0-4,16-20
201-6663,Cooley Primary School ,Controlled,102.0,BT799DH,54.556212,-7.124179,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,100.99504938362077,83,12,7
301-0553,Carrickfergus Model Primary School ,Controlled,384.0,BT388BU,54.712131,-5.817412,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,195.95917942265424,222,8,154
301-0558,Duneane Primary School ,Controlled,19.0,BT413RD,54.752938,-6.412306,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,43.58898943540674,15-19,0,0-4
301-0570,Straid Primary School ,Controlled,30.0,BT399NQ,54.751376,-5.926334,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,54.77225575051661,26-30,0,0-4
301-0696,Woodburn Primary School ,Controlled,202.0,BT389AB,54.728669,-5.843831,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.12670403551894,131,0-4,67-71
301-0785,Eden Primary School ,Controlled,209.0,BT387NL,54.728552,-5.774239,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.5683229480096,140,0-4,65-69
301-0787,Lislagan Primary School ,Controlled,116.0,BT537JF,55.047731,-6.505037,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,107.70329614269008,80,0-4,32-36
301-0796,Eden Primary School ,Controlled,86.0,BT537PB,55.03145,-6.56373,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,92.73618495495704,55,0-4,27-31
301-0804,Straidbilly Primary School ,Controlled,88.0,BT538EE,55.17219,-6.453421,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.8083151964686,72,0,16
301-0816,Randalstown Central Primary School ,Controlled,171.0,BT413AJ,54.749065,-6.324768,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.7669683062202,107,0-4,60-64
301-0822,Groggan Primary School ,Controlled,124.0,BT413EU,54.785559,-6.367003,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,111.35528725660043,91,0,33
301-0829,Antrim Primary School ,Controlled,590.0,BT414AB,54.717316,-6.212895,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,242.8991560298224,450,26,114
301-0834,Clough Primary School ,Controlled,183.0,BT449RY,54.963365,-6.283272,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,135.27749258468685,163,0,20
301-0860,Sunnylands Primary School ,Controlled,194.0,BT388JJ,54.72106,-5.815287,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,139.2838827718412,91-95,0-4,99
301-0862,Abbots Cross Primary School ,Controlled,318.0,BT379QW,54.669209,-5.91324,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,178.32554500127006,202,0-4,112-116
301-0874,Whitehead Primary School ,Controlled,440.0,BT389NE,54.757729,-5.710212,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,209.76176963403032,233,28,179
301-0878,Kilmoyle Primary School ,Controlled,99.0,BT536NS,55.131635,-6.549567,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,99.498743710662,77,0-4,18-22
301-0880,King's Park Primary School ,Controlled,316.0,BT370DG,54.677807,-5.913202,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,177.76388834631177,239,6,71
301-0893,Knockahollet Primary School ,Controlled,74.0,BT449BA,55.046713,-6.361116,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,86.02325267042627,50,0,24
301-2065,Culcrow Primary School ,Controlled,98.0,BT514BT,55.053707,-6.606702,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,98.99494936611666,69,0-4,25-29
301-2237,Killowen Primary School ,Controlled,203.0,BT513BZ,55.127567,-6.675885,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.47806848775008,75,7,121
301-2250,Portstewart Primary School ,Controlled,265.0,BT557BT,55.18539,-6.714378,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,162.78820596099706,111,19,135
301-2284,D H Christie Memorial Primary School ,Controlled,358.0,BT513HX,55.139124,-6.682935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,189.20887928424503,169,57,132
301-2288,Castleroe Primary School ,Controlled,96.0,BT513RN,55.107341,-6.657422,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,97.97958971132712,36-40,0-4,56
301-3330,Victoria Primary School ,Controlled,411.0,BT387EZ,54.724088,-5.79499,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.73134932713293,245,0-4,162-166
301-3704,Castledawson Primary School ,Controlled,141.0,BT458AB,54.778099,-6.558798,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.74342087037915,89,0-4,48-52
301-6005,Silverstream Primary School ,Controlled,148.0,BT388XD,54.691829,-5.869642,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,121.65525060596438,67,5,76
301-6038,Hollybank Primary School ,Controlled,172.0,BT370HF,54.685744,-5.908716,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,131.14877048604,94,0-4,74-78
301-6055,Gorran Primary School ,Controlled,87.0,BT514HA,55.023986,-6.692078,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.27379053088816,64,5,18
301-6125,Rasharkin Primary School ,Controlled,70.0,BT448RX,54.954926,-6.479279,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,83.66600265340756,55,0-4,11-15
301-6225,Woodlawn Primary School ,Controlled,149.0,BT388EZ,54.723673,-5.821712,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,122.06555615733704,38-42,0-4,107
301-6249,Earlview Primary School ,Controlled,219.0,BT365US,54.688617,-5.957531,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,147.9864858694874,89-93,0-4,126
301-6257,Oakfield Primary School ,Controlled,285.0,BT387SP,54.734919,-5.807569,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,168.81943016134133,175,0-4,106-110
301-6414,Fairview Primary School ,Controlled,485.0,BT399HS,54.755107,-6.00624,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,220.2271554554524,252,12,221
301-6440,Portglenone Primary School ,Controlled,140.0,BT448AF,54.873626,-6.472325,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.32159566199232,108,0-4,28-32
305-0841,Central Integrated Primary School ,Controlled Integrated,146.0,BT388AL,54.716722,-5.810895,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,120.83045973594572,96,13,37
305-0866,Ballymoney Model Integrated Primary School,Controlled Integrated,376.0,BT536BW,55.071794,-6.523146,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,193.9071942966532,233,21,122
401-0512,McKinney Primary School  Dundrod,Controlled,166.0,BT294HX,54.61365,-6.121373,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,128.84098726725125,100,0-4,62-66
401-0720,Ballycarrickmaddy Primary School ,Controlled,191.0,BT282NX,54.552823,-6.149273,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.20274961085255,127,6,58
401-0762,Brownlee Primary School ,Controlled,200.0,BT274AA,54.513033,-6.042298,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,141.4213562373095,105,11,84
401-0807,Lisburn Central Primary School ,Controlled,212.0,BT281JJ,54.50666,-6.047637,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.60219778561037,79,25,108
401-0882,Seymour Hill Primary School ,Controlled,251.0,BT179QX,54.542758,-6.011065,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,158.42979517754858,133,6,112
401-0885,Tonagh Primary School ,Controlled,229.0,BT281DQ,54.510269,-6.055278,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,151.32745950421557,175,23,31
401-1300,Grey Abbey Primary School ,Controlled,78.0,BT222QA,54.534315,-5.560855,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,88.31760866327848,41,0,37
401-1373,Kirkistown Primary School ,Controlled,57.0,BT221JA,54.438402,-5.470164,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,75.4983443527075,23,0,34
401-1566,Ballywalter Primary School ,Controlled,161.0,BT222NT,54.545489,-5.489073,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,126.8857754044952,67-71,0-4,90
401-1584,Carr Primary School ,Controlled,79.0,BT276TB,54.499381,-5.933577,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,88.88194417315589,28-32,0-4,47
401-1606,Gilnahirk Primary School ,Controlled,411.0,BT57QQ,54.58328,-5.839252,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.73134932713293,257,14,140
401-1619,Dromara Primary School ,Controlled,177.0,BT252BL,54.381024,-6.017972,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,133.04134695650072,93,13,71
401-1657,Lisnasharragh Primary School ,Controlled,380.0,BT69LS,54.573232,-5.886924,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,194.93588689617928,230,17,133
401-1674,Knockbreda Primary School ,Controlled,129.0,BT60JJ,54.567645,-5.903512,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,113.57816691600549,74,13,42
401-1698,Newcastle Primary School ,Controlled,221.0,BT330AS,54.215296,-5.890331,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,148.66068747318505,77,47,97
401-3334,Knockmore Primary School ,Controlled,244.0,BT281SA,54.508933,-6.076217,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,156.20499351813308,85,39,120
401-6020,Carrowdore Primary School ,Controlled,166.0,BT222JJ,54.577901,-5.553502,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,128.84098726725125,79-83,0-4,83
401-6123,Spa Primary School ,Controlled,200.0,BT248QB,54.377049,-5.892661,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,141.4213562373095,127,5,68
401-6144,Old Warren Primary School ,Controlled,155.0,BT281QP,54.502595,-6.059131,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.49899597988733,86,15,54
401-6201,Academy Primary School ,Controlled,455.0,BT247JA,54.454743,-5.831135,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,213.3072900770154,223,44,188
401-6202,Ballinderry Primary School ,Controlled,277.0,BT282BF,54.548012,-6.255343,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,166.43316977093238,163,23,91
401-6396,Killinchy Primary School ,Controlled,331.0,BT236PN,54.471712,-5.675311,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.9340539866025,208,9,114
401-6441,Ballymacash Primary School ,Controlled,458.0,BT282EE,54.519768,-6.086365,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,214.00934559032692,220,21,217
401-6636,Meadow Bridge Primary School ,Controlled,296.0,BT266JR,54.473119,-6.146935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,172.04650534085255,201,10,85
401-6681,Glasswater Primary School ,Controlled,88.0,BT309EG,54.396368,-5.757559,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.8083151964686,51,8,29
406-6644,Millennium  Integrated Primary School ,Grant Maintained Integrated,422.0,BT247HF,54.494062,-5.85571,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,205.4263858417414,155,132,135
501-1124,King's Park Primary School Lurgan,Controlled,695.0,BT667BB,54.458206,-6.321591,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,263.6285265292814,353,82,260
501-1127,Carrick Primary School ,Controlled,469.0,BT668NY,54.458024,-6.342232,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.56407827707716,99,192,178
501-1132,Killylea Primary School ,Controlled,93.0,BT604LN,54.347678,-6.774013,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,96.43650760992956,81,0,12
501-1137,Newtownhamilton Primary School ,Controlled,57.0,BT350DQ,54.197201,-6.579446,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,75.4983443527075,50,0-4,3-7
501-1175,Cortamlet Primary School ,Controlled,71.0,BT350EE,54.179965,-6.626385,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,84.2614977317636,63-71,0-4,0-4
501-1520,Dromore Road Primary School ,Controlled,87.0,BT343JH,54.103439,-6.252096,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.27379053088816,22,29,36
501-1602,Bleary Primary School ,Controlled,170.0,BT668TD,54.425225,-6.34123,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.384048104053,114,19,37
501-1649,Kilkeel Primary School ,Controlled,527.0,BT344AT,54.061128,-6.001778,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,229.56480566497996,390,14,123
501-1664,Scarva Primary School ,Controlled,61.0,BT636NS,54.329048,-6.361891,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,78.10249675906654,54,0,7
501-1684,Annalong Primary School ,Controlled,198.0,BT344TH,54.107157,-5.901271,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.71247279470288,143,13,42
501-2635,Augher Central Primary School ,Controlled,79.0,BT770BE,54.43226,-7.137212,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,88.88194417315589,49,0-4,26-30
501-6027,Drumhillery Primary School ,Controlled,63.0,BT603QB,54.26998,-6.78791,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,79.37253933193772,59-63,0,0-4
501-6098,Brackenagh West Primary School ,Controlled,146.0,BT344QB,54.098937,-5.974795,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,120.83045973594572,131,0,15
501-6178,Donacloney Primary School ,Controlled,231.0,BT667LP,54.419887,-6.258188,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,151.98684153570665,168,0-4,59-63
501-6179,Hamiltonsbawn Primary School ,Controlled,138.0,BT619SA,54.343988,-6.543893,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,117.4734012447073,101,0-4,33-37
501-6451,Windsor Hill Primary School ,Controlled,209.0,BT341DY,54.180579,-6.332108,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.5683229480096,65,43,101
501-6599,Fair Hill Primary School ,Controlled,265.0,BT252PJ,54.379512,-6.083477,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,162.78820596099706,219,8,38
501-6612,Bronte Primary School ,Controlled,187.0,BT325BL,54.264082,-6.239072,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,136.74794331177344,135,10,42
501-6616,Drumadonnell Primary School ,Controlled,222.0,BT325EY,54.283604,-6.095336,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,148.9966442575134,187,0-4,31-35
501-6658,Orchard County Primary School,Controlled,171.0,BT621NH,54.465232,-6.612664,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.7669683062202,142,0-4,25-29
504-6241,The Drelincourt School,Other Maintained,12.0,BT601EE,54.34502,-6.636847,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,34.64101615137754,0-4,0-4,4-12
