ref,name,postcode,management,pupils_total_2022_23,religion_protestant_2022_23,religion_catholic_2022_23,religion_other_2022_23,religion_protestant_est_low_2022_23,religion_catholic_est_low_2022_23,religion_other_est_low_2022_23,religion_protestant_est_mid_2022_23,religion_catholic_est_mid_2022_23,religion_other_est_mid_2022_23,religion_protestant_est_high_2022_23,religion_catholic_est_high_2022_23,religion_other_est_high_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
203-6116,St Conor's Primary School ,BT785JQ,Roman Catholic Maintained,446,0,#,*,0,442,0,0,444,2,0,446,4,BT785JQ,54.598425,-7.324659,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,211.18712081942874,0,442-446,0-4
203-6142,"St Brigid's Primary School & Nursery, Carnhill",BT488BZ,Roman Catholic Maintained,410,0,#,*,0,406,0,0,408,2,0,410,4,BT488BZ,55.024672,-7.317226,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,202.48456731316588,0,406-410,0-4
203-6143,St Oliver Plunkett Primary School ,BT476XA,Roman Catholic Maintained,196,*,176,#,0,176,16,2,176,18,4,176,20,BT476XA,55.031244,-7.268792,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,140,0-4,176,16-20
203-6149,St Finlough's Primary School Sistrakeel,BT499JL,Roman Catholic Maintained,68,0,#,*,0,64,0,0,66,2,0,68,4,BT499JL,55.013004,-7.039372,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,82.46211251235322,0,64-68,0-4
203-6153,St Scire's Primary School ,BT783RB,Roman Catholic Maintained,144,0,#,*,0,140,0,0,142,2,0,144,4,BT783RB,54.44771,-7.489048,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,120,0,140-144,0-4
203-6181,St Mary's Primary School ,BT929QF,Roman Catholic Maintained,133,0,#,*,0,129,0,0,131,2,0,133,4,BT929QF,54.154498,-7.525775,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,115.32562594670796,0,129-133,0-4
203-6186,St Dympna's Primary School ,BT783FE,Roman Catholic Maintained,212,*,203,#,0,203,5,2,203,7,4,203,9,BT783FE,54.513523,-7.456266,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,145.60219778561037,0-4,203,05-Sep
203-6187,St John's Primary School Dernaflaw,BT474PN,Roman Catholic Maintained,167,0,#,*,0,163,0,0,165,2,0,167,4,BT474PN,54.924055,-6.967172,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,129.22847983320085,0,163-167,0-4
203-6213,St Columban's Primary School ,BT935DS,Roman Catholic Maintained,95,*,#,*,0,87,0,2,91,2,4,95,4,BT935DS,54.3074,-7.895129,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,97.46794344808963,0-4,87-95,0-4
203-6227,St Paul's Primary School Slievemore,BT488QZ,Roman Catholic Maintained,217,*,208,#,0,208,5,2,208,7,4,208,9,BT488QZ,55.04889,-7.263448,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,147.30919862656233,0-4,208,05-Sep
203-6247,St Columba's Primary School ,BT472QS,Roman Catholic Maintained,47,0,#,*,0,43,0,0,45,2,0,47,4,BT472QS,54.957264,-7.358034,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,68.55654600401044,0,43-47,0-4
203-6258,St Davog's Primary School ,BT933FJ,Roman Catholic Maintained,104,*,94,#,0,94,6,2,94,8,4,94,10,BT933FJ,54.481322,-8.090659,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,101.9803902718557,0-4,94,06-Oct
203-6259,Sacred Heart Primary School ,BT472DT,Roman Catholic Maintained,427,*,#,5,0,418,5,2,420,5,4,422,5,BT472DT,54.985033,-7.307949,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,206.63978319771826,0-4,418-422,5
203-6288,"Good Shepherd Primary & Nursery, Derry",BT476BW,Roman Catholic Maintained,430,6,388,36,6,388,36,6,388,36,6,388,36,BT476BW,54.993609,-7.309067,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,207.3644135332772,6,388,36
203-6291,St Oliver Plunkett Primary School ,BT790TH,Roman Catholic Maintained,123,0,#,*,0,119,0,0,121,2,0,123,4,BT790TH,54.544478,-7.171157,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,110.90536506409418,0,119-123,0-4
203-6356,"St Mary's Primary School, Tempo",BT943HU,Roman Catholic Maintained,151,0,#,*,0,147,0,0,149,2,0,151,4,BT943HU,54.385507,-7.466087,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,122.88205727444507,0,147-151,0-4
203-6415,Our Lady of Lourdes Primary School ,BT797QP,Roman Catholic Maintained,112,0,#,*,0,108,0,0,110,2,0,112,4,BT797QP,54.692109,-7.087182,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,105.83005244258362,0,108-112,0-4
203-6449,Christ the King Primary School ,BT797HX,Roman Catholic Maintained,196,#,187,*,5,187,0,7,187,2,9,187,4,BT797HX,54.613757,-7.300491,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,140,05-Sep,187,0-4
203-6458,"St Mary’s Primary School, Gortnaghey ",BT474PZ,Roman Catholic Maintained,77,*,#,0,0,73,0,2,75,0,4,77,0,BT474PZ,54.956429,-6.97026,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,87.74964387392123,0-4,73-77,0
203-6459,St Theresa's Primary School ,BT829NZ,Roman Catholic Maintained,92,*,#,*,0,84,0,2,88,2,4,92,4,BT829NZ,54.786624,-7.49033,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,95.91663046625439,0-4,84-92,0-4
203-6461,St Therese Primary School ,BT488NX,Roman Catholic Maintained,361,*,#,0,0,357,0,2,359,0,4,361,0,BT488NX,55.032088,-7.324654,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,190,0-4,357-361,0
203-6465,Chapel Road Primary School ,BT472BD,Roman Catholic Maintained,175,5,160,10,5,160,10,5,160,10,5,160,10,BT472BD,54.990062,-7.307753,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,132.2875655532295,5,160,10
203-6472,Holy Family Primary School ,BT480AZ,Roman Catholic Maintained,530,0,#,*,0,526,0,0,528,2,0,530,4,BT480AZ,55.018162,-7.345367,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,230.21728866442675,0,526-530,0-4
203-6473,St Eithne's Primary School ,BT480LT,Roman Catholic Maintained,331,0,#,*,0,327,0,0,329,2,0,331,4,BT480LT,55.013553,-7.353712,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,181.93405398660252,0,327-331,0-4
203-6475,Longtower Primary School ,BT486QQ,Roman Catholic Maintained,277,0,268,9,0,268,9,0,268,9,0,268,9,BT486QQ,54.993057,-7.327653,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,166.43316977093238,0,268,9
203-6533,Hollybush Primary School ,BT488JN,Roman Catholic Maintained,438,*,417,#,0,417,17,2,417,19,4,417,21,BT488JN,55.051981,-7.269556,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,209.2844953645635,0-4,417,17-21
203-6555,St Eugene's Primary School ,BT487DS,Roman Catholic Maintained,171,*,152,#,0,152,15,2,152,17,4,152,19,BT487DS,54.999738,-7.327291,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,130.7669683062202,0-4,152,15-19
203-6557,All Saints Primary School ,BT785BR,Roman Catholic Maintained,102,0,#,*,0,98,0,0,100,2,0,102,4,BT785BR,54.560881,-7.411751,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,100.99504938362077,0,98-102,0-4
203-6574,Bunscoil Cholmcille & Naíscoil Dhoire,BT488EX,Roman Catholic Maintained,143,0,136,7,0,136,7,0,136,7,0,136,7,BT488EX,55.027308,-7.308315,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,119.58260743101398,0,136,7
203-6581,St Patricks Primary School ,BT487RD,Roman Catholic Maintained,774,0,#,*,0,770,0,0,772,2,0,774,4,BT487RD,55.021037,-7.317757,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,278.20855486487113,0,770-774,0-4
203-6632,Holy Trinity Primary School ,BT746AZ,Roman Catholic Maintained,624,22,526,76,22,526,76,22,526,76,22,526,76,BT746AZ,54.350536,-7.641488,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,249.79991993593592,22,526,76
203-6659,St Macartan's Primary School ,BT927NQ,Roman Catholic Maintained,89,*,#,0,0,85,0,2,87,0,4,89,0,BT927NQ,54.227755,-7.257756,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,94.33981132056603,0-4,85-89,0
203-6674,Holy Family Primary School,BT785HZ,Roman Catholic Maintained,341,0,335,6,0,335,6,0,335,6,0,335,6,BT785HZ,54.602108,-7.310223,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,184.66185312619388,0,335,6
203-6696,St Mary's Primary School,BT829EF,Roman Catholic Maintained,704,0,698,6,0,698,6,0,698,6,0,698,6,BT829EF,54.815208,-7.473653,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,265.32998322843196,0,698,6
203-6703,St Catherine’s Primary School ,BT828HT,Roman Catholic Maintained,473,0,#,*,0,469,0,0,471,2,0,473,4,BT828HT,54.823083,-7.456593,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,217.48563170931547,0,469-473,0-4
203-6712,"St Michael's Primary School, Dunamanagh",BT820QN,Roman Catholic Maintained,82,0,#,*,0,78,0,0,80,2,0,82,4,BT820QN,54.871389,-7.309213,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,90.55385138137417,0,78-82,0-4
204-6638,Gaelscoil Uí Dhochartaigh,BT829AQ,Other Maintained,159,*,#,*,0,151,0,2,155,2,4,159,4,BT829AQ,54.817641,-7.461006,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,126.09520212918491,0-4,151-159,0-4
204-6646,Naíscoil & Gaelscoil Éadain Mhóir,BT486NP,Other Maintained,196,0,155,41,0,155,41,0,155,41,0,155,41,BT486NP,54.989937,-7.333673,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,140,0,155,41
204-6669,Bunscoil an Traonaigh,BT920PE,Other Maintained,57,0,#,*,0,53,0,0,55,2,0,57,4,BT920PE,54.263484,-7.462464,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,75.49834435,0,53-57,0-4
204-6677,Gaelscoil na gCrann,BT790JP,Other Maintained,185,0,180,5,0,180,5,0,180,5,0,180,5,BT790JP,54.601822,-7.245673,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,136.01470508735443,0,180,5
204-6687,Gaelscoil na Daróige,BT480ND,Other Maintained,110,0,101,9,0,101,9,0,101,9,0,101,9,BT480ND,55.023657,-7.346622,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,104.88088481701516,0,101,9
204-6689,Gaelscoil Léim an Mhadaidh,BT490BX,Other Maintained,104,0,99,5,0,99,5,0,99,5,0,99,5,BT490BX,55.052445,-6.942573,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,101.9803902718557,0,99,5
206-6549,Enniskillen Integrated Primary School ,BT744FH,Grant Maintained Integrated,425,107,198,120,107,198,120,107,198,120,107,198,120,BT744FH,54.364444,-7.647982,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,206.15528128088303,107,198,120
206-6552,Omagh Integrated Primary School ,BT790GW,Grant Maintained Integrated,300,39,126,135,39,126,135,39,126,135,39,126,135,BT790GW,54.60206,-7.269962,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,173.20508075688775,39,126,135
206-6558,Oakgrove Integrated Primary School ,BT476JY,Grant Maintained Integrated,420,75,188,157,75,188,157,75,188,157,75,188,157,BT476JY,54.999642,-7.305307,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,204.93901531919195,75,188,157
206-6665,Roe Valley Integrated Primary School ,BT499EX,Grant Maintained Integrated,189,50,100,39,50,100,39,50,100,39,50,100,39,BT499EX,55.037408,-6.949867,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,137.4772708486752,50,100,39
301-0404,Tildarg Primary School ,BT399JU,Controlled,46,37,0,9,37,0,9,37,0,9,37,0,9,BT399JU,54.794311,-6.056293,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,67.82329983125268,37,0,9
301-0486,Larne and Inver Primary School ,BT403AY,Controlled,191,107,*,#,107,0,80,107,2,82,107,4,84,BT403AY,54.848481,-5.823055,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.20274961085255,107,0-4,80-84
301-0553,Carrickfergus Model Primary School ,BT388BU,Controlled,384,222,8,154,222,8,154,222,8,154,222,8,154,BT388BU,54.712131,-5.817412,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,195.95917942265424,222,8,154
301-0558,Duneane Primary School ,BT413RD,Controlled,19,#,0,*,15,0,0,17,0,2,19,0,4,BT413RD,54.752938,-6.412306,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,43.58898943540674,15-19,0,0-4
301-0570,Straid Primary School ,BT399NQ,Controlled,30,#,0,*,26,0,0,28,0,2,30,0,4,BT399NQ,54.751376,-5.926334,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,54.772255750516614,26-30,0,0-4
301-0572,Carrowreagh Primary School ,BT537JL,Controlled,82,57,*,#,57,0,21,57,2,23,57,4,25,BT537JL,55.017755,-6.505919,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.55385138137417,57,0-4,21-25
301-0594,Garryduff Primary School ,BT537DR,Controlled,77,64,0,13,64,0,13,64,0,13,64,0,13,BT537DR,55.03175,-6.447717,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,87.74964387392123,64,0,13
301-0631,Ballyclare Primary School ,BT399BG,Controlled,550,330,13,207,330,13,207,330,13,207,330,13,207,BT399BG,54.751327,-6.00478,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,234.5207879911715,330,13,207
301-0642,Parkgate Primary School ,BT390DH,Controlled,47,35,0,12,35,0,12,35,0,12,35,0,12,BT390DH,54.725222,-6.092681,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,68.55654600401044,35,0,12
301-0646,Olderfleet Primary School ,BT401BX,Controlled,118,72,*,#,72,0,42,72,2,44,72,4,46,BT401BX,54.851256,-5.804001,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,108.62780491200215,72,0-4,42-46
301-0696,Woodburn Primary School ,BT389AB,Controlled,202,131,*,#,131,0,67,131,2,69,131,4,71,BT389AB,54.728669,-5.843831,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.12670403551894,131,0-4,67-71
301-0714,Buick Memorial Primary School ,BT421BW,Controlled,287,200,*,#,200,0,83,200,2,85,200,4,87,BT421BW,54.888188,-6.353409,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,169.41074346097417,200,0-4,83-87
301-0726,Dunseverick Primary School ,BT578SR,Controlled,89,70,*,#,70,0,15,70,2,17,70,4,19,BT578SR,55.22619,-6.445024,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,94.33981132056603,70,0-4,15-19
301-0741,Creavery Primary School ,BT412LH,Controlled,48,41,*,#,41,0,3,41,2,5,41,4,7,BT412LH,54.755374,-6.230061,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,69.28203230275508,41,0-4,03-Jul
301-0745,Loanends Primary School ,BT294YR,Controlled,191,118,6,67,118,6,67,118,6,67,118,6,67,BT294YR,54.66345,-6.105637,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.20274961085255,118,6,67
301-0754,Doagh Primary School ,BT390QL,Controlled,130,79,*,#,79,0,47,79,2,49,79,4,51,BT390QL,54.738077,-6.042388,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,114.0175425099138,79,0-4,47-51
301-0779,The Thompson Primary School,BT399RX,Controlled,166,89,*,#,89,0,73,89,2,75,89,4,77,BT399RX,54.716772,-6.001527,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,128.84098726725125,89,0-4,73-77
301-0780,Kirkinriola Primary School ,BT436TB,Controlled,81,50,9,22,50,9,22,50,9,22,50,9,22,BT436TB,54.896659,-6.262434,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90,50,9,22
301-0781,Harryville Primary School ,BT424BY,Controlled,226,79,7,140,79,7,140,79,7,140,79,7,140,BT424BY,54.859392,-6.273023,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,150.33296378372907,79,7,140
301-0785,Eden Primary School ,BT387NL,Controlled,209,140,*,#,140,0,65,140,2,67,140,4,69,BT387NL,54.728552,-5.774239,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.5683229480096,140,0-4,65-69
301-0787,Lislagan Primary School ,BT537JF,Controlled,116,80,*,#,80,0,32,80,2,34,80,4,36,BT537JF,55.047731,-6.505037,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,107.70329614269008,80,0-4,32-36
301-0794,Gracehill Primary School ,BT422NL,Controlled,437,286,*,#,286,0,147,286,2,149,286,4,151,BT422NL,54.85338,-6.327438,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,209.04544960366874,286,0-4,147-151
301-0795,Landhead Primary School ,BT537HL,Controlled,58,39,*,#,39,0,15,39,2,17,39,4,19,BT537HL,55.072787,-6.489871,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,76.15773105863909,39,0-4,15-19
301-0796,Eden Primary School ,BT537PB,Controlled,86,55,*,#,55,0,27,55,2,29,55,4,31,BT537PB,55.03145,-6.56373,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,92.73618495495704,55,0-4,27-31
301-0802,Ballynure Primary School ,BT399UE,Controlled,151,94,*,#,94,0,53,94,2,55,94,4,57,BT399UE,54.778394,-5.955464,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,122.88205727444507,94,0-4,53-57
301-0804,Straidbilly Primary School ,BT538EE,Controlled,88,72,0,16,72,0,16,72,0,16,72,0,16,BT538EE,55.17219,-6.453421,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.8083152,72,0,16
301-0808,Glynn Primary School ,BT403HF,Controlled,89,63,0,26,63,0,26,63,0,26,63,0,26,BT403HF,54.827894,-5.8119,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,94.33981132056603,63,0,26
301-0809,Ballycarry Primary School ,BT389HE,Controlled,50,34,0,16,34,0,16,34,0,16,34,0,16,BT389HE,54.776248,-5.752936,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,70.71067811865476,34,0,16
301-0816,Randalstown Central Primary School ,BT413AJ,Controlled,171,107,*,#,107,0,60,107,2,62,107,4,64,BT413AJ,54.749065,-6.324768,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.7669683062202,107,0-4,60-64
301-0817,Greenisland Primary School ,BT388RA,Controlled,412,134,20,258,134,20,258,134,20,258,134,20,258,BT388RA,54.700702,-5.873986,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.9778313018444,134,20,258
301-0818,Moorfields Primary School ,BT423EF,Controlled,197,158,*,#,158,0,35,158,2,37,158,4,39,BT423EF,54.828612,-6.154571,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.3566885,158,0-4,35-39
301-0822,Groggan Primary School ,BT413EU,Controlled,124,91,0,33,91,0,33,91,0,33,91,0,33,BT413EU,54.785559,-6.367003,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,111.35528725660043,91,0,33
301-0825,Carnaghts Primary School ,BT422LX,Controlled,95,69,*,#,69,0,22,69,2,24,69,4,26,BT422LX,54.815706,-6.268867,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,97.46794344808963,69,0-4,22-26
301-0826,The Diamond Primary School ,BT421EE,Controlled,155,123,*,#,123,0,28,123,2,30,123,4,32,BT421EE,54.882061,-6.377391,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.49899597988733,123,0-4,28-32
301-0827,Whitehouse Primary School ,BT379NZ,Controlled,448,196,18,234,196,18,234,196,18,234,196,18,234,BT379NZ,54.661514,-5.909372,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,211.66010488516724,196,18,234
301-0828,Kilbride Central Primary School,BT390SQ,Controlled,107,71,*,#,71,0,32,71,2,34,71,4,36,BT390SQ,54.760094,-6.052729,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,103.44080432788601,71,0-4,32-36
301-0829,Antrim Primary School ,BT414AB,Controlled,590,450,26,114,450,26,114,450,26,114,450,26,114,BT414AB,54.717316,-6.212895,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,242.89915602982236,450,26,114
301-0834,Clough Primary School ,BT449RY,Controlled,183,163,0,20,163,0,20,163,0,20,163,0,20,BT449RY,54.963365,-6.283272,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,135.27749258468683,163,0,20
301-0835,Kells & Connor Primary School ,BT423LS,Controlled,225,133,6,86,133,6,86,133,6,86,133,6,86,BT423LS,54.812475,-6.220689,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,150,133,6,86
301-0842,William Pinkerton Memorial Primary School,BT538BB,Controlled,85,65,0,20,65,0,20,65,0,20,65,0,20,BT538BB,55.123046,-6.471546,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,92.19544457292886,65,0,20
301-0846,Whiteabbey Primary School ,BT370RU,Controlled,418,181,62,175,181,62,175,181,62,175,181,62,175,BT370RU,54.679235,-5.893467,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,204.45048300260873,181,62,175
301-0847,Portrush Primary School ,BT568JW,Controlled,177,88,8,81,88,8,81,88,8,81,88,8,81,BT568JW,55.1997,-6.647891,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,133.04134695650072,88,8,81
301-0850,Upper Ballyboley Primary School ,BT399UW,Controlled,17,#,0,*,13,0,0,15,0,2,17,0,4,BT399UW,54.796784,-5.95536,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,41.23105625617661,13-17,0,0-4
301-0860,Sunnylands Primary School ,BT388JJ,Controlled,194,#,*,99,91,0,99,93,2,99,95,4,99,BT388JJ,54.72106,-5.815287,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,139.2838827718412,91-95,0-4,99
301-0862,Abbots Cross Primary School ,BT379QW,Controlled,318,202,*,#,202,0,112,202,2,114,202,4,116,BT379QW,54.669209,-5.91324,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,178.32554500127006,202,0-4,112-116
301-0870,Moyle Primary School ,BT401NS,Controlled,426,259,12,155,259,12,155,259,12,155,259,12,155,BT401NS,54.856238,-5.819227,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,206.39767440550293,259,12,155
301-0873,Bushmills Primary School ,BT578QW,Controlled,121,74,*,#,74,0,43,74,2,45,74,4,47,BT578QW,55.204966,-6.527832,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,110,74,0-4,43-47
301-0874,Whitehead Primary School ,BT389NE,Controlled,440,233,28,179,233,28,179,233,28,179,233,28,179,BT389NE,54.757729,-5.710212,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,209.76176963403032,233,28,179
301-0875,Ballymena Primary School ,BT435BX,Controlled,259,86,16,157,86,16,157,86,16,157,86,16,157,BT435BX,54.872475,-6.283945,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160.93476939431082,86,16,157
301-0878,Kilmoyle Primary School ,BT536NS,Controlled,99,77,*,#,77,0,18,77,2,20,77,4,22,BT536NS,55.131635,-6.549567,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,99.49874371,77,0-4,18-22
301-0879,Straidhavern Primary School ,BT294SN,Controlled,50,13,5,32,13,5,32,13,5,32,13,5,32,BT294SN,54.647027,-6.147504,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,70.71067811865476,13,5,32
301-0880,King's Park Primary School ,BT370DG,Controlled,316,239,6,71,239,6,71,239,6,71,239,6,71,BT370DG,54.677807,-5.913202,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,177.76388834631177,239,6,71
301-0883,Linn Primary School ,BT402HT,Controlled,412,250,6,156,250,6,156,250,6,156,250,6,156,BT402HT,54.863391,-5.840866,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.9778313018444,250,6,156
301-0891,Fourtowns Primary School ,BT421LA,Controlled,290,214,*,#,214,0,72,214,2,74,214,4,76,BT421LA,54.853382,-6.365883,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,170.29386365926402,214,0-4,72-76
301-0892,Ballytober Primary School ,BT578UR,Controlled,75,57,0,18,57,0,18,57,0,18,57,0,18,BT578UR,55.189198,-6.549391,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,86.60254037844388,57,0,18
301-0893,Knockahollet Primary School ,BT449BA,Controlled,74,50,0,24,50,0,24,50,0,24,50,0,24,BT449BA,55.046713,-6.361116,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,86.02325267042627,50,0,24
